Issue_Key,Issue_Type,Summary,Status,Priority,Sprint_Name,Sprint_Start,Sprint_End,Story_Points,Assignee,Reporter,Created_Date,Updated_Date,Resolved_Date,Epic_Key,Labels,Component
PROJ-29,Story,Optimize image compression pipeline,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,5.0,Drew Nakamura,Alex Thompson,2025-09-28,2025-10-03,2025-10-02,PROJ-6,"tech-debt,data-pipeline",DevOps
PROJ-30,Story,Implement report caching layer,To Do,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Taylor Kim,Riley Patel,2025-09-25,2025-10-19,,PROJ-4,accessibility,Infrastructure
PROJ-31,Sub-task,Document API for build kpi card component,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Drew Nakamura,Riley Patel,2025-09-24,2025-09-27,2025-10-14,PROJ-2,"fedramp,accessibility",Frontend UI
PROJ-32,Story,Build report permissions model,To Do,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Riley Patel,Drew Nakamura,2025-10-02,2025-10-08,,PROJ-4,fedramp,Infrastructure
PROJ-33,Task,Build KPI card component,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Casey Williams,Drew Nakamura,2025-09-28,2025-10-15,2025-10-03,PROJ-2,accessibility,Database
PROJ-34,Task,Create compliance audit report,Done,Highest,Sprint 1 - Foundation,2025-10-01,2025-10-14,2.0,Quinn Fitzgerald,Quinn Fitzgerald,2025-09-30,2025-10-18,2025-10-11,PROJ-5,tech-debt,DevOps
PROJ-35,Bug,Fix timezone display issue in reports,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,5.0,Taylor Kim,Casey Williams,2025-09-25,2025-10-19,2025-10-03,PROJ-3,"ux,security",Backend API
PROJ-36,Story,Create unit test coverage baseline,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Casey Williams,Morgan Chen,2025-09-30,2025-10-15,2025-10-13,PROJ-8,security,Frontend UI
PROJ-37,Bug,Resolve memory leak in WebSocket handler,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Jordan Rivera,Quinn Fitzgerald,2025-10-02,2025-10-09,2025-10-17,PROJ-4,migration,Infrastructure
PROJ-38,Sub-task,Add input validation to implement accessibility testing,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Casey Williams,Pat Morrison (PM),2025-10-01,2025-10-15,2025-10-10,PROJ-8,api,DevOps
PROJ-39,Task,Implement certificate management,In Progress,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2.0,Jordan Rivera,Morgan Chen,2025-09-29,2025-10-16,,PROJ-5,accessibility,Database
PROJ-40,Bug,Resolve duplicate entries in audit log,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Jamie Reeves,Sam Delgado (PO),2025-09-27,2025-10-10,2025-10-10,PROJ-2,data-pipeline,Documentation
PROJ-41,Task,Implement connection pooling,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,13.0,Quinn Fitzgerald,Casey Williams,2025-09-30,2025-10-17,2025-10-08,PROJ-6,migration,Backend API
PROJ-42,Story,Add API versioning strategy,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,13.0,Drew Nakamura,Jamie Reeves,2025-10-02,2025-10-02,2025-10-17,PROJ-7,security,Frontend UI
PROJ-43,Task,Create data lineage tracker,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Drew Nakamura,Taylor Kim,2025-10-01,2025-10-11,2025-10-12,PROJ-3,"accessibility,compliance",Frontend UI
PROJ-44,Task,Add role-based access control,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,13.0,Casey Williams,Casey Williams,2025-09-24,2025-10-18,2025-09-25,PROJ-1,"data-pipeline,ux",Authentication
PROJ-45,Story,Add export to PDF functionality,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Morgan Chen,Taylor Kim,2025-10-03,2025-10-06,2025-10-16,PROJ-2,security,Reporting
PROJ-46,Task,Add circuit breaker pattern,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Taylor Kim,Pat Morrison (PM),2025-10-04,2025-10-11,2025-10-06,PROJ-7,performance,Backend API
PROJ-47,Story,Implement request/response logging,In Progress,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,1.0,Jordan Rivera,Drew Nakamura,2025-09-30,2025-10-15,,PROJ-7,"migration,ux",Documentation
PROJ-48,Story,Implement certificate management,Done,Low,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Taylor Kim,Quinn Fitzgerald,2025-09-29,2025-10-06,2025-10-02,PROJ-5,migration,Documentation
PROJ-49,Story,Build API contract testing,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,5.0,Avery Okafor,Alex Thompson,2025-09-29,2025-10-07,2025-10-08,PROJ-8,tech-debt,Frontend UI
PROJ-50,Story,Create API health check endpoints,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Jordan Rivera,Taylor Kim,2025-10-01,2025-10-15,2025-10-02,PROJ-7,tech-debt,Reporting
PROJ-51,Task,Implement server-side rendering,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,13.0,Quinn Fitzgerald,Taylor Kim,2025-10-02,2025-10-12,2025-10-08,PROJ-6,tech-debt,Frontend UI
PROJ-52,Bug,Correct calculation error in KPI rollup,Done,Lowest,Sprint 1 - Foundation,2025-10-01,2025-10-14,5.0,Taylor Kim,Sam Delgado (PO),2025-09-27,2025-10-03,2025-10-13,PROJ-6,api,Reporting
PROJ-53,Sub-task,Add logging to build report permissions model,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,,Alex Thompson,Alex Thompson,2025-10-02,2025-10-06,2025-10-07,PROJ-4,ux,DevOps
PROJ-54,Story,Integrate with Active Directory,Done,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,2.0,Jordan Rivera,Jordan Rivera,2025-09-24,2025-10-02,2025-10-10,PROJ-1,performance,Backend API
PROJ-55,Story,Add encryption at rest for PII,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,5.0,Avery Okafor,Drew Nakamura,2025-10-03,2025-10-10,2025-10-16,PROJ-5,migration,Reporting
PROJ-56,Bug,Resolve CORS policy blocking API calls,Done,High,Sprint 1 - Foundation,2025-10-01,2025-10-14,13.0,Casey Williams,Taylor Kim,2025-09-25,2025-10-19,2025-10-02,PROJ-7,ux,Authentication
PROJ-57,Story,Implement drill-down navigation,To Do,Medium,Sprint 1 - Foundation,2025-10-01,2025-10-14,3.0,Casey Williams,Taylor Kim,2025-09-28,2025-09-29,,PROJ-2,"migration,performance",Authentication
PROJ-58,Sub-task,Add error handling to create report parameter ui,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Alex Thompson,Morgan Chen,2025-10-12,2025-10-16,2025-10-15,PROJ-4,"data-pipeline,compliance",DevOps
PROJ-59,Story,Create compliance audit report,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Drew Nakamura,Sam Delgado (PO),2025-10-09,2025-10-28,2025-10-11,PROJ-5,compliance,Backend API
PROJ-60,Story,Integrate with Active Directory,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,2.0,Taylor Kim,Morgan Chen,2025-10-16,2025-10-30,2025-10-31,PROJ-1,"accessibility,migration",Frontend UI
PROJ-61,Task,Implement request/response logging,Done,High,Sprint 2 - Core Features,2025-10-15,2025-10-28,2.0,Drew Nakamura,Chris Albright (Tech Lead),2025-10-14,2025-10-29,2025-10-24,PROJ-7,migration,Frontend UI
PROJ-62,Story,Implement API response caching,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Quinn Fitzgerald,Drew Nakamura,2025-10-08,2025-10-29,2025-10-26,PROJ-6,api,Infrastructure
PROJ-63,Task,Create test data management system,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Jordan Rivera,Alex Thompson,2025-10-12,2025-10-26,2025-10-28,PROJ-8,"data-pipeline,tech-debt",Database
PROJ-64,Story,Implement password policy enforcement,In Progress,Lowest,Sprint 2 - Core Features,2025-10-15,2025-10-28,8.0,Morgan Chen,Quinn Fitzgerald,2025-10-15,2025-10-18,,PROJ-1,"compliance,api",Reporting
PROJ-65,Story,Create test data management system,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Morgan Chen,Jordan Rivera,2025-10-17,2025-11-02,2025-10-29,PROJ-8,accessibility,Infrastructure
PROJ-66,Sub-task,Review and refactor implement stig compliance checks,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Morgan Chen,Quinn Fitzgerald,2025-10-17,2025-11-01,2025-10-31,PROJ-5,fedramp,Infrastructure
PROJ-67,Task,Create API health check endpoints,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,13.0,Casey Williams,Chris Albright (Tech Lead),2025-10-11,2025-10-29,2025-10-24,PROJ-7,fedramp,DevOps
PROJ-68,Bug,Fix export truncating long field values,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,5.0,Morgan Chen,Avery Okafor,2025-10-10,2025-10-25,2025-10-12,PROJ-7,"fedramp,performance",DevOps
PROJ-69,Story,Set up Cypress E2E test framework,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,5.0,Taylor Kim,Riley Patel,2025-10-10,2025-10-12,2025-10-26,PROJ-8,accessibility,Frontend UI
PROJ-70,Bug,Fix chart tooltip positioning on scroll,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Jordan Rivera,Casey Williams,2025-10-16,2025-10-17,2025-10-26,PROJ-7,compliance,Authentication
PROJ-71,Bug,Correct calculation error in KPI rollup,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,2.0,Alex Thompson,Alex Thompson,2025-10-10,2025-11-01,2025-10-20,PROJ-7,security,Reporting
PROJ-72,Story,Add API versioning strategy,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,5.0,Jordan Rivera,Jamie Reeves,2025-10-10,2025-10-15,2025-10-16,PROJ-7,"data-pipeline,tech-debt",DevOps
PROJ-73,Sub-task,Add input validation to implement change data capture,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Quinn Fitzgerald,Taylor Kim,2025-10-18,2025-10-18,2025-10-31,PROJ-3,ux,Frontend UI
PROJ-74,Story,Implement connection pooling,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,2.0,Quinn Fitzgerald,Jordan Rivera,2025-10-12,2025-10-18,2025-10-25,PROJ-6,data-pipeline,Infrastructure
PROJ-75,Task,Implement STIG compliance checks,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,2.0,Quinn Fitzgerald,Taylor Kim,2025-10-17,2025-10-18,2025-10-27,PROJ-5,"tech-debt,fedramp",Authentication
PROJ-76,Task,Create security event logging,Done,Lowest,Sprint 2 - Core Features,2025-10-15,2025-10-28,5.0,Jamie Reeves,Riley Patel,2025-10-12,2025-10-26,2025-10-14,PROJ-5,"performance,compliance",Infrastructure
PROJ-77,Bug,Fix broken pagination on large datasets,In Review,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,13.0,Taylor Kim,Morgan Chen,2025-10-16,2025-11-01,,PROJ-3,migration,Reporting
PROJ-78,Bug,Correct calculation error in KPI rollup,Done,High,Sprint 2 - Core Features,2025-10-15,2025-10-28,5.0,Avery Okafor,Riley Patel,2025-10-11,2025-11-01,2025-10-24,PROJ-6,accessibility,Backend API
PROJ-79,Story,Add dashboard sharing permissions,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,2.0,Casey Williams,Quinn Fitzgerald,2025-10-14,2025-10-25,2025-10-18,PROJ-2,api,Infrastructure
PROJ-80,Sub-task,Add input validation to add scheduled report delivery,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Alex Thompson,Alex Thompson,2025-10-14,2025-10-17,2025-10-19,PROJ-4,migration,Frontend UI
PROJ-81,Story,Implement retry logic for failed jobs,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,5.0,Morgan Chen,Drew Nakamura,2025-10-16,2025-10-29,2025-10-26,PROJ-3,migration,Documentation
PROJ-82,Sub-task,Add accessibility attributes to implement stig compliance checks,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Riley Patel,Avery Okafor,2025-10-11,2025-10-22,2025-10-15,PROJ-5,"fedramp,security",Documentation
PROJ-83,Story,Add dashboard sharing permissions,In Progress,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,5.0,Riley Patel,Casey Williams,2025-10-08,2025-10-09,,PROJ-2,"data-pipeline,tech-debt",Frontend UI
PROJ-84,Bug,Fix search index not updating after data import,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Taylor Kim,Morgan Chen,2025-10-10,2025-10-29,2025-10-11,PROJ-4,"api,compliance",Database
PROJ-85,Story,Create session management service,To Do,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,2.0,Morgan Chen,Taylor Kim,2025-10-13,2025-10-13,,PROJ-1,accessibility,Frontend UI
PROJ-86,Bug,Fix slow query on compliance report page,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,2.0,Alex Thompson,Sam Delgado (PO),2025-10-16,2025-10-23,2025-10-26,PROJ-8,"api,compliance",DevOps
PROJ-87,Task,Implement SAML 2.0 SSO flow,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Jordan Rivera,Jordan Rivera,2025-10-09,2025-10-24,2025-10-24,PROJ-1,ux,Frontend UI
PROJ-88,Story,Optimize image compression pipeline,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Jordan Rivera,Pat Morrison (PM),2025-10-17,2025-10-30,2025-10-19,PROJ-6,api,Authentication
PROJ-89,Story,Create report parameter UI,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Riley Patel,Pat Morrison (PM),2025-10-09,2025-10-19,2025-10-23,PROJ-4,ux,DevOps
PROJ-90,Story,Create chart rendering engine,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Jamie Reeves,Avery Okafor,2025-10-10,2025-10-27,2025-10-12,PROJ-2,performance,Documentation
PROJ-91,Story,Design API gateway architecture,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Morgan Chen,Pat Morrison (PM),2025-10-17,2025-11-02,2025-10-21,PROJ-7,performance,Infrastructure
PROJ-92,Bug,Correct calculation error in KPI rollup,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,5.0,Jamie Reeves,Pat Morrison (PM),2025-10-16,2025-11-02,2025-10-17,PROJ-6,"compliance,security",Database
PROJ-93,Story,Add input sanitization middleware,Done,High,Sprint 2 - Core Features,2025-10-15,2025-10-28,2.0,Morgan Chen,Sam Delgado (PO),2025-10-18,2025-10-30,2025-10-20,PROJ-5,security,Frontend UI
PROJ-94,Bug,Fix export truncating long field values,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Alex Thompson,Morgan Chen,2025-10-13,2025-10-31,2025-10-16,PROJ-4,data-pipeline,Backend API
PROJ-95,Task,Implement certificate management,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Jordan Rivera,Riley Patel,2025-10-12,2025-10-18,2025-10-29,PROJ-5,compliance,DevOps
PROJ-96,Task,Implement STIG compliance checks,Done,Lowest,Sprint 2 - Core Features,2025-10-15,2025-10-28,1.0,Morgan Chen,Chris Albright (Tech Lead),2025-10-11,2025-10-20,2025-10-18,PROJ-5,fedramp,Frontend UI
PROJ-97,Bug,Fix CSS overflow on mobile dashboard view,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Drew Nakamura,Sam Delgado (PO),2025-10-18,2025-10-29,2025-10-20,PROJ-3,security,DevOps
PROJ-98,Sub-task,Create Storybook story for optimize image compression pipeline,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Riley Patel,Morgan Chen,2025-10-09,2025-10-21,2025-10-10,PROJ-6,"data-pipeline,migration",Infrastructure
PROJ-99,Story,Add export to PDF functionality,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,1.0,Riley Patel,Chris Albright (Tech Lead),2025-10-12,2025-10-22,2025-10-20,PROJ-2,api,Frontend UI
PROJ-100,Task,Add report versioning,Done,Lowest,Sprint 2 - Core Features,2025-10-15,2025-10-28,5.0,Morgan Chen,Taylor Kim,2025-10-10,2025-10-17,2025-10-14,PROJ-4,data-pipeline,Database
PROJ-101,Bug,Resolve memory leak in WebSocket handler,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Jamie Reeves,Pat Morrison (PM),2025-10-17,2025-10-31,2025-10-28,PROJ-2,data-pipeline,Infrastructure
PROJ-102,Bug,Fix CSS overflow on mobile dashboard view,Done,Medium,Sprint 2 - Core Features,2025-10-15,2025-10-28,5.0,Riley Patel,Avery Okafor,2025-10-12,2025-10-30,2025-10-14,PROJ-6,migration,DevOps
PROJ-103,Story,Add encryption at rest for PII,Done,Lowest,Sprint 2 - Core Features,2025-10-15,2025-10-28,1.0,Quinn Fitzgerald,Jamie Reeves,2025-10-17,2025-11-02,2025-10-24,PROJ-5,security,DevOps
PROJ-104,Sub-task,Add input validation to add report versioning,Done,Lowest,Sprint 2 - Core Features,2025-10-15,2025-10-28,,Jordan Rivera,Avery Okafor,2025-10-15,2025-10-18,2025-10-26,PROJ-4,security,Authentication
PROJ-105,Bug,Fix file upload failing for files over 10MB,Done,High,Sprint 2 - Core Features,2025-10-15,2025-10-28,3.0,Riley Patel,Pat Morrison (PM),2025-10-12,2025-10-24,2025-10-26,PROJ-8,fedramp,Frontend UI
PROJ-106,Story,Build API key management,Done,Low,Sprint 2 - Core Features,2025-10-15,2025-10-28,13.0,Jordan Rivera,Jamie Reeves,2025-10-17,2025-10-21,2025-10-23,PROJ-7,fedramp,Reporting
PROJ-107,Sub-task,Add error handling to add api versioning strategy,In Review,Medium,Sprint 3 - Integration,2025-10-29,2025-11-11,,Avery Okafor,Jordan Rivera,2025-10-27,2025-10-31,,PROJ-7,accessibility,Infrastructure
PROJ-108,Story,Add report versioning,Done,Medium,Sprint 3 - Integration,2025-10-29,2025-11-11,2.0,Taylor Kim,Chris Albright (Tech Lead),2025-10-24,2025-10-28,2025-10-27,PROJ-4,api,Backend API
PROJ-109,Task,Implement retry logic for failed jobs,In Progress,High,Sprint 3 - Integration,2025-10-29,2025-11-11,5.0,Quinn Fitzgerald,Alex Thompson,2025-10-31,2025-11-05,,PROJ-3,tech-debt,DevOps
PROJ-110,Task,Implement visual regression testing,Done,Medium,Sprint 3 - Integration,2025-10-29,2025-11-11,5.0,Jamie Reeves,Quinn Fitzgerald,2025-10-29,2025-11-04,2025-11-10,PROJ-8,compliance,Documentation
PROJ-111,Task,Add API versioning strategy,Done,Low,Sprint 3 - Integration,2025-10-29,2025-11-11,2.0,Riley Patel,Avery Okafor,2025-10-26,2025-10-27,2025-11-11,PROJ-7,"api,performance",Reporting
PROJ-112,Story,Create data quality scoring,Done,Medium,Sprint 3 - Integration,2025-10-29,2025-11-11,5.0,Riley Patel,Alex Thompson,2025-10-23,2025-10-30,2025-11-07,PROJ-3,accessibility,Infrastructure
PROJ-113,Story,Create time-series trend analysis,In Progress,Medium,Sprint 3 - Integration,2025-10-29,2025-11-11,1.0,Morgan Chen,Morgan Chen,2025-11-01,2025-11-11,,PROJ-2,migration,Database
PROJ-114,Bug,Fix slow query on compliance report page,Done,Lowest,Sprint 3 - Integration,2025-10-29,2025-11-11,1.0,Jamie Reeves,Avery Okafor,2025-10-25,2025-10-29,2025-11-12,PROJ-8,compliance,Authentication
PROJ-115,Story,Build user profile settings page,Done,Low,Sprint 3 - Integration,2025-10-29,2025-11-11,3.0,Avery Okafor,Alex Thompson,2025-10-23,2025-11-07,2025-11-12,PROJ-1,data-pipeline,Authentication
PROJ-116,Bug,Resolve duplicate entries in audit log,To Do,Medium,Sprint 3 - Integration,2025-10-29,2025-11-11,3.0,Jordan Rivera,Avery Okafor,2025-10-24,2025-11-14,,PROJ-5,"performance,api",Backend API
PROJ-117,Story,Set up Cypress E2E test framework,Done,Lowest,Sprint 3 - Integration,2025-10-29,2025-11-11,2.0,Riley Patel,Casey Williams,2025-10-22,2025-11-02,2025-10-25,PROJ-8,"performance,fedramp",Database
PROJ-118,Task,Create data lineage tracker,Done,Medium,Sprint 3 - Integration,2025-10-29,2025-11-11,2.0,Alex Thompson,Taylor Kim,2025-10-24,2025-10-26,2025-11-08,PROJ-3,tech-debt,Backend API
PROJ-119,Story,Create compliance audit report,Done,Medium,Sprint 3 - Integration,2025-10-29,2025-11-11,2.0,Riley Patel,Chris Albright (Tech Lead),2025-11-01,2025-11-07,2025-11-06,PROJ-5,fedramp,Reporting
PROJ-120,Story,Optimize image compression pipeline,Done,Low,Sprint 3 - Integration,2025-10-29,2025-11-11,8.0,Quinn Fitzgerald,Sam Delgado (PO),2025-10-28,2025-11-07,2025-11-03,PROJ-6,api,Reporting
